Var,S1,S1_conf,ST,ST_conf
size_nw,0.003788946758498616,0.00613158618804965,0.018754832203481682,0.003307866927840851
n_issues,0.18983543976343728,0.0235219438939211,0.25740008310564644,0.018546259038183115
p,0.035737070600511574,0.011524811113470682,0.08464049659271763,0.007704454984039689
σ,0.5560951756114549,0.040255848953469994,0.6551249920133082,0.033730566225581196
ρ,0.06751734711513414,0.016009806034289868,0.15404844314716418,0.013454061629231852
p_intran,0.002603150662216641,0.003811739073494454,0.012428089070823134,0.0016547725693543689
