Var,S1,S1_conf,ST,ST_conf
size_nw,0.005238776677295417,0.006541104118444361,0.02206976948413888,0.00283353623720888
n_issues,0.18738643449502282,0.02670822915523224,0.23477789908292424,0.014640676540419596
p,0.06392457504531965,0.013258713234573453,0.11630003677071611,0.009838996144106127
σ,0.46195167999396225,0.029549558703710677,0.5767920114385624,0.030179284797930177
ρ,0.12943649054020948,0.01795150395467769,0.2409820904430198,0.016417683422207133
p_intran,0.0007893054673783194,0.003783209270334818,0.011597250373167112,0.0016646493097914948
